epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,15731.6,0.63549,0.35612,0.9335,0.98731,0.98448,0.99343,0.90947,0.47862,0.21074,0.83688,0.0076438,0.0076438,0.0076438
121,15860.3,0.63555,0.35579,0.93376,0.98732,0.98439,0.99344,0.90996,0.47838,0.21079,0.83673,0.007624,0.007624,0.007624
122,15988.5,0.63473,0.35599,0.93211,0.98753,0.98431,0.99346,0.90987,0.47803,0.21056,0.8366,0.0076042,0.0076042,0.0076042
123,16118.5,0.63819,0.35531,0.93626,0.98745,0.98431,0.99341,0.90998,0.47769,0.21058,0.83671,0.0075844,0.0075844,0.0075844
124,16247.5,0.63296,0.35632,0.93389,0.98769,0.98386,0.99336,0.91038,0.47747,0.21074,0.83676,0.0075646,0.0075646,0.0075646
125,16376.3,0.63711,0.3575,0.93414,0.98816,0.98379,0.99331,0.91053,0.4771,0.21044,0.8367,0.0075448,0.0075448,0.0075448
126,16505.8,0.63545,0.35563,0.93212,0.98902,0.98321,0.99333,0.91057,0.47706,0.21029,0.83676,0.007525,0.007525,0.007525
127,16633.9,0.63269,0.35496,0.93319,0.98883,0.98341,0.99324,0.91053,0.47709,0.20993,0.83682,0.0075052,0.0075052,0.0075052
128,16763.7,0.63339,0.3544,0.93194,0.98923,0.98361,0.99319,0.9105,0.47727,0.20977,0.83684,0.0074854,0.0074854,0.0074854
129,16893.4,0.63304,0.35405,0.93015,0.98848,0.98361,0.99321,0.90999,0.47722,0.20944,0.8367,0.0074656,0.0074656,0.0074656
130,17021.8,0.63067,0.35364,0.92864,0.98844,0.984,0.99333,0.9104,0.47721,0.20877,0.83655,0.0074458,0.0074458,0.0074458
131,17151.8,0.63221,0.35429,0.93101,0.9887,0.98404,0.99336,0.91045,0.47737,0.20858,0.83664,0.007426,0.007426,0.007426
132,17280.6,0.63132,0.35479,0.92946,0.98874,0.9838,0.99341,0.91072,0.47727,0.20825,0.83659,0.0074062,0.0074062,0.0074062
133,17409,0.63278,0.35593,0.93148,0.98975,0.98368,0.99344,0.91095,0.47725,0.20816,0.83668,0.0073864,0.0073864,0.0073864
134,17538.9,0.63464,0.35415,0.9331,0.98938,0.98352,0.99344,0.91086,0.47697,0.20786,0.83662,0.0073666,0.0073666,0.0073666
135,17667.3,0.63193,0.35622,0.9316,0.9895,0.98338,0.9934,0.91086,0.47689,0.20727,0.83672,0.0073468,0.0073468,0.0073468
136,17795.3,0.62746,0.35044,0.92761,0.98963,0.98402,0.9934,0.91119,0.47676,0.2075,0.83664,0.007327,0.007327,0.007327
137,17925,0.63236,0.35153,0.93025,0.98943,0.98395,0.99342,0.91085,0.47671,0.20725,0.83655,0.0073072,0.0073072,0.0073072
